Game,ReleaseDate,Genre,TotalEarnings,OfflineEarnings,PercentOffline,TotalPlayers,TotalTournaments
Age of Empires,1997,Strategy,736284.75,522378.17,70.95%,624,341
Age of Empires II,1999,Strategy,3898508.73,1361409.22,34.92%,2256,1939
Age of Empires III,2005,Strategy,122256.72,44472.6,36.38%,172,179
Age of Empires IV,2021,Strategy,1190813.44,439117.93,36.88%,643,423
Age of Empires Online,2011,Strategy,11462.98,775,6.76%,52,68
Age of Mythology,2002,Strategy,188619.58,86723.77,45.98%,236,298
Among Us,2018,Strategy,86000,0,0.00%,14,8
Auto Chess,2019,Strategy,1163720.28,1038222.28,89.22%,133,52
Brawl Stars,2018,Strategy,8141511.8,3848208.14,47.27%,698,207
Chess.com,2007,Strategy,8609043.36,853000.02,9.91%,1158,779
chess24,2014,Strategy,4318475.43,0,0.00%,90,29
chessarena.com,2021,Strategy,263363.64,54000,20.50%,134,22
Clash of Clans,2012,Strategy,6085742.37,3722139.37,61.16%,544,81
Clash Royale,2016,Strategy,9059840.93,4386263.8,48.41%,563,132
Clash Royale x Chess,2022,Strategy,0,0,NA,0,0
Command & Conquer 3,2007,Strategy,53086.67,53086.67,100.00%,9,8
Command & Conquer: Red Alert,1996,Strategy,15000,15000,100.00%,8,1
Company of Heroes 2,2013,Strategy,8561.22,7956.22,92.93%,11,6
ComPet,2016,Strategy,2000,0,0.00%,50,1
Dead By Daylight,2016,Strategy,60000,0,0.00%,35,9
Dead by Daylight Mobile,2020,Strategy,10000,0,0.00%,0,1
Dota Underlords,2019,Strategy,26024.18,0,0.00%,62,36
Endgods,2015,Strategy,0,0,NA,0,0
Farming Simulator 19,2018,Strategy,689617.9,228639.83,33.15%,145,32
Farming Simulator 22,2021,Strategy,181663.39,136960.97,75.39%,48,8
GeoGuessr,2013,Strategy,74653.5,74653.5,100.00%,34,2
Grey Goo,2015,Strategy,36400,30400,83.52%,18,5
Heroes of Might and Magic III,1999,Strategy,0,0,NA,0,0
Identity V,2018,Strategy,5796530.92,5225333.4,90.15%,375,29
Internet Chess Club,1995,Strategy,10000,0,0.00%,6,1
Iron Harvest,2020,Strategy,0,0,NA,0,0
Legion TD 2,2021,Strategy,0,0,NA,0,0
Lichess,2010,Strategy,1308106.01,0,0.00%,366,183
Loco Dojo Unleashed,2021,Strategy,1000,1000,100.00%,4,1
Men of War: Assault Squad 2,2014,Strategy,0,0,NA,0,0
Multigaming,2000,Strategy,631156.54,573837.5,90.92%,58,12
Playchess.com,2002,Strategy,32866.58,0,0.00%,116,9
Pokémon GO,2016,Strategy,557990,552000,98.93%,324,72
Pokémon VGC,2012,Strategy,667352,647500,97.03%,322,48
Prophecy,2020,Strategy,13000,0,0.00%,27,4
Rise of Nations: Rise of Legends,2006,Strategy,69600,69600,100.00%,8,1
Sea of Thieves,2016,Strategy,1.00E+05,0,0.00%,67,4
Star Wars: Squadrons,2020,Strategy,800,0,0.00%,4,1
StarCraft II,2010,Strategy,42692707.57,33672991.36,78.87%,2280,7510
StarCraft: Brood War,1998,Strategy,7555915.68,7299575.96,96.61%,663,542
StarCraft: Evo Complete (Mod),2024,Strategy,21687.9,0,0.00%,35,10
StarCraft: Remastered,2017,Strategy,5860787.7,1959028.34,33.43%,413,829
Stormgate,2024,Strategy,39778.85,15000,37.71%,89,32
