ID,Game,Tournament,Region,WinningTeam,MVP,PrizePool(USD),PeakViewers,Duration(Days),Year,MapsPlayed,MapsWon,Kills,K/D Ratio,WinRate(%)
1,Fortnite,BLAST Premier World Final 2025,MENA,T1,TenZ,12360630,3884413,8,2024,4,4,288,1.58,100
2,Dota 2,Fortnite FNCS Global Championship 2025,EU,Cloud9,Sh1ro,27717489,799863,4,2023,5,4,254,0.97,80
3,PUBG Mobile,PUBG Mobile World Cup 2025,NA,Astralis,TenZ,3504596,3551453,7,2024,7,3,277,1.1,42.86
4,Counter-Strike 2,Valorant Champions 2025,OCE,Sentinels,Leaf,21314462,2807778,10,2024,5,2,282,1.09,40
5,Counter-Strike 2,LoL Worlds 2024,NA,Team Liquid,ZywOo,19347201,3877616,8,2023,5,5,144,1.18,100
6,Valorant,LoL Worlds 2024,MENA,FaZe Clan,NiKo,4689917,1127319,10,2023,7,1,236,1.31,14.29
7,League of Legends,LoL Worlds 2024,NA,Team Liquid,Sh1ro,12548760,704865,4,2025,5,3,133,1.34,60
8,League of Legends,The International 2025,SA,Sentinels,Keria,34245917,135436,8,2024,6,1,189,1.1,16.67
9,Counter-Strike 2,PUBG Mobile World Cup 2025,EU,Natus Vincere,s1mple,1784080,2778574,13,2025,4,2,213,1.15,50
10,Valorant,LoL Worlds 2024,OCE,Sentinels,TenZ,25445851,4801239,8,2024,7,7,98,1.11,100
11,Fortnite,Fortnite FNCS Global Championship 2024,OCE,Fnatic,Ana,37199038,4819654,11,2025,7,2,200,1.07,28.57
12,Dota 2,Fortnite FNCS Global Championship 2024,SA,Paper Rex,ShowMaker,820229,669283,7,2024,3,3,91,1.28,100
13,Dota 2,Valorant Champions 2025,SA,FaZe Clan,b1t,3501252,1096576,11,2025,4,1,247,1.07,25
14,PUBG Mobile,The International 2025,EU,Evil Geniuses,s1mple,19190252,2070453,7,2023,3,2,244,1.14,66.67
15,PUBG Mobile,Valorant Champions 2024,SA,G2 Esports,ShowMaker,15711685,4151271,7,2025,4,1,258,1.37,25
16,Dota 2,Valorant Champions 2024,NA,Sentinels,Faker,8779503,2587698,14,2025,7,3,274,0.93,42.86
17,PUBG Mobile,LoL Worlds 2024,OCE,OG,TenZ,23758107,2783294,8,2023,6,5,280,0.82,83.33
18,League of Legends,Fortnite FNCS Global Championship 2024,EU,Team Spirit,Keria,4269542,1397356,6,2023,7,5,159,1.41,71.43
19,PUBG Mobile,The International 2025,MENA,Vitality,Ana,13706485,1253706,3,2023,5,1,185,1.35,20
20,Dota 2,BLAST Premier World Final 2024,OCE,Fnatic,Sh1ro,39521968,4406665,11,2025,4,2,188,1.58,50
21,Valorant,Valorant Champions 2025,MENA,T1,Keria,10829851,4667846,6,2023,3,1,283,1.03,33.33
22,Fortnite,The International 2024,OCE,Paper Rex,NiKo,15494150,2033524,7,2023,4,1,195,1.21,25
23,Counter-Strike 2,PUBG Mobile World Cup 2024,EU,Fnatic,TenZ,3787714,2813540,13,2023,6,4,286,1.21,66.67
24,PUBG Mobile,The International 2025,OCE,Fnatic,Keria,4560384,3154041,12,2023,7,6,175,1.34,85.71
25,PUBG Mobile,Fortnite FNCS Global Championship 2025,OCE,Astralis,s1mple,5862152,3911203,4,2025,6,2,275,1.16,33.33
26,League of Legends,BLAST Premier World Final 2024,EU,Evil Geniuses,Aspas,24064802,3506653,4,2023,3,2,172,1.51,66.67
27,Dota 2,Valorant Champions 2024,OCE,Team Liquid,Nisha,19409275,4178520,13,2025,6,4,74,1.01,66.67
28,Counter-Strike 2,BLAST Premier World Final 2024,ASIA,Fnatic,Leaf,794400,1961056,5,2025,4,4,207,1.07,100
29,League of Legends,The International 2024,OCE,Cloud9,Faker,29233225,630410,6,2023,5,1,85,1.25,20
30,League of Legends,BLAST Premier World Final 2024,OCE,T1,Aspas,26535108,3113605,11,2024,5,2,260,0.81,40
31,PUBG Mobile,BLAST Premier World Final 2024,SA,Fnatic,Faker,39599888,4310852,4,2024,6,1,293,0.88,16.67
32,PUBG Mobile,The International 2024,OCE,Cloud9,Leaf,36710196,1604579,8,2024,5,3,271,1.38,60
33,Counter-Strike 2,PUBG Mobile World Cup 2025,SA,Evil Geniuses,Boombl4,9391671,2181810,14,2025,7,6,149,1.41,85.71
34,Valorant,Valorant Champions 2024,NA,Cloud9,ShowMaker,32291335,1639515,6,2023,7,7,62,0.89,100
35,Dota 2,The International 2025,ASIA,Paper Rex,Derke,16700947,3582925,11,2024,5,4,281,1.22,80
36,Valorant,The International 2024,OCE,Team Spirit,Aspas,34532694,2972294,7,2023,5,3,130,1.12,60
37,Fortnite,Valorant Champions 2025,ASIA,Paper Rex,Sh1ro,21793637,748311,8,2025,6,2,174,0.84,33.33
38,Valorant,LoL Worlds 2025,NA,G2 Esports,Nisha,30669590,1643273,11,2025,7,6,107,1.23,85.71
39,PUBG Mobile,The International 2024,MENA,T1,Faker,36281900,1517124,4,2025,4,3,248,0.98,75
40,Dota 2,BLAST Premier World Final 2025,MENA,Cloud9,Aspas,5447761,2942617,8,2024,5,5,223,1.38,100
41,Counter-Strike 2,PUBG Mobile World Cup 2025,MENA,T1,Derke,32199788,2967828,8,2025,3,2,288,1.6,66.67
42,League of Legends,Valorant Champions 2025,NA,G2 Esports,Aspas,14288028,1974706,12,2024,4,1,300,1.07,25
43,PUBG Mobile,LoL Worlds 2024,NA,100 Thieves,Aspas,13923847,125594,7,2024,4,2,293,1.18,50
44,PUBG Mobile,BLAST Premier World Final 2024,OCE,Paper Rex,Nisha,3411367,4394547,11,2024,7,5,61,1.06,71.43
45,Dota 2,Valorant Champions 2025,SA,Vitality,b1t,28800474,1402310,6,2025,7,6,226,1.54,85.71
